Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000530,Aldershot,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,100.0%
E14000531,Aldridge-Brownhills,SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,100.0%
E14000532,Altrincham and Sale West,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000533,Amber Valley,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000534,Arundel and South Downs,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,73.0%
E14000534,Arundel and South Downs,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,15.2%
E14000534,Arundel and South Downs,PRT,Portsmouth Water,regional water only company,,https://www.portsmouthwater.co.uk/,11.7%
E14000535,Ashfield,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000536,Ashford,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,99.0%
E14000536,Ashford,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.6%
E14000536,Ashford,ICO,Icosa Water Services,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.icosawater.co.uk/,0.5%
E14000537,Ashton-under-Lyne,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000538,Aylesbury,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,87.3%
E14000538,Aylesbury,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,7.0%
E14000538,Aylesbury,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,5.7%
E14000539,Banbury,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,97.5%
E14000539,Banbury,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,2.5%
E14000539,Banbury,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,0.0%
E14000539,Banbury,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,0.0%
E14000540,Barking,NES,Essex & Suffolk Water (part of Northumbrian Water),regional water and sewerage company,,https://www.nwl.co.uk/,96.6%
E14000540,Barking,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,3.4%
E14000541,Barnsley Central,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000542,Barnsley East,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000543,Barrow and Furness,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000544,Basildon and Billericay,NES,Essex & Suffolk Water (part of Northumbrian Water),regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000545,Basingstoke,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,99.8%
E14000545,Basingstoke,STS,Severn Trent Services,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.stwater.co.uk/,0.2%
E14000546,Bassetlaw,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,60.2%
E14000546,Bassetlaw,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,39.5%
E14000546,Bassetlaw,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,0.3%
E14000547,Bath,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,100.0%
E14000548,Batley and Spen,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000549,Battersea,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,95.4%
E14000549,Battersea,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,4.6%
E14000550,Beaconsfield,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,62.2%
E14000550,Beaconsfield,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,37.7%
E14000550,Beaconsfield,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,0.2%
E14000551,Beckenham,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,98.1%
E14000551,Beckenham,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,1.9%
E14000552,Bedford,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000553,Bermondsey and Old Southwark,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000554,Berwick-upon-Tweed,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000555,Bethnal Green and Bow,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000556,Beverley and Holderness,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,99.9%
E14000556,Beverley and Holderness,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.1%
E14000557,Bexhill and Battle,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,99.3%
E14000557,Bexhill and Battle,ICO,Icosa Water Services,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.icosawater.co.uk/,0.6%
E14000557,Bexhill and Battle,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,0.1%
E14000558,Bexleyheath and Crayford,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000559,Birkenhead,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000560,"Birmingham, Edgbaston",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.6%
E14000560,"Birmingham, Edgbaston",SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,0.4%
E14000561,"Birmingham, Erdington",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.0%
E14000561,"Birmingham, Erdington",SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,1.0%
E14000562,"Birmingham, Hall Green",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000563,"Birmingham, Hodge Hill",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000564,"Birmingham, Ladywood",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000564,"Birmingham, Ladywood",SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,0.0%
E14000565,"Birmingham, Northfield",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000566,"Birmingham, Perry Barr",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000566,"Birmingham, Perry Barr",SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,0.0%
E14000567,"Birmingham, Selly Oak",SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
